iter	RMSE
0	2.9631339
1	2.855025451
2	2.759951846
3	2.675255343
4	2.599509348
5	2.533449025
6	2.475537368
7	2.423491857
8	2.378705348
9	2.334682761
10	2.295831436
11	2.263010878
12	2.234347327
13	2.208347042
14	2.18348568
15	2.161628547
16	2.142931222
17	2.126773183
18	2.110958027
19	2.09697107
20	2.08360524
21	2.069332902
22	2.058096539
23	2.049090973
24	2.040609716
25	2.031627749
26	2.022852472
27	2.017125137
28	2.011113725
29	2.005176916
30	1.998877074
31	1.994143866
32	1.989462192
33	1.983959537
34	1.979369246
35	1.975615401
36	1.97182018
37	1.967973838
38	1.963972484
39	1.961008414
40	1.95763151
41	1.954605722
42	1.951707582
43	1.949105371
44	1.946357071
45	1.944133195
46	1.942213328
47	1.939896023
48	1.938347714
49	1.936014011
50	1.934457061
51	1.931774967
52	1.930346998
53	1.929200723
54	1.927239072
55	1.925327058
56	1.92316813
57	1.922166521
58	1.920823812
59	1.919071126
60	1.917600256
61	1.916438911
62	1.914995821
63	1.913239531
64	1.912252654
65	1.911461685
66	1.909993958
67	1.908673589
68	1.907597362
69	1.906929991
70	1.905350803
71	1.904531452
72	1.903650084
73	1.902337743
74	1.901146997
75	1.900022411
76	1.899099216
77	1.898237833
78	1.897359895
79	1.896584316
80	1.896087737
81	1.895160839
82	1.89430725
83	1.893532479
84	1.892445189
85	1.891463919
86	1.890689812
87	1.889549831
88	1.888696777
89	1.88801141
90	1.88746222
91	1.88664781
92	1.885793718
93	1.884982266
94	1.884409489
95	1.883872829
96	1.883390429
97	1.882748637
98	1.88208212
99	1.881305162
100	1.880808217
101	1.88013584
102	1.879120273
103	1.87862236
104	1.878277897
105	1.877905167
106	1.877266393
107	1.876555249
108	1.876085203
109	1.875363262
110	1.87485046
111	1.87430196
112	1.873708805
113	1.873059752
114	1.872669779
115	1.872079834
116	1.871625465
117	1.871021798
118	1.870704908
119	1.870152664
120	1.869526661
121	1.868975433
122	1.868362003
123	1.867767025
124	1.867171295
125	1.866685242
126	1.866166549
127	1.865602504
128	1.86512827
129	1.86469417
130	1.864355757
131	1.863883715
132	1.863467207
133	1.862754862
134	1.862316027
135	1.861952529
136	1.861756298
137	1.861452414
138	1.86089763
139	1.860271959
140	1.859653847
141	1.859274343
142	1.858883679
143	1.858602169
144	1.858242912
145	1.857763005
146	1.857420635
147	1.85678011
148	1.856241238
149	1.855703447
150	1.855333104
151	1.85452088
152	1.854198362
153	1.853747135
154	1.853253991
155	1.852854361
156	1.852521831
157	1.852151766
158	1.851762437
159	1.851412666
160	1.85098104
161	1.850610749
162	1.85021648
163	1.849704002
164	1.849296946
165	1.848704386
166	1.848353198
167	1.848180017
168	1.847633919
169	1.847160955
170	1.846714333
171	1.846292715
172	1.845911098
173	1.845480317
174	1.84515141
175	1.844788351
176	1.844377276
177	1.844035334
178	1.843653304
179	1.843113797
180	1.842965503
181	1.842684308
182	1.842430336
183	1.84177356
184	1.841171335
185	1.840833058
186	1.840547984
187	1.840220827
188	1.84006297
189	1.839669359
190	1.839425852
191	1.839173058
192	1.838580401
193	1.838163526
194	1.838042417
195	1.837631844
196	1.837538063
197	1.837279911
198	1.837004928
199	1.836719828
200	1.83637215
201	1.83601846
202	1.835639626
203	1.835157771
204	1.834799855
205	1.834640333
206	1.833959103
207	1.833726742
208	1.833228656
209	1.832965313
210	1.83250192
211	1.832261171
212	1.831934769
